ÅR,Måned,Dato,Måler,Parti,Oppslutning
1964,Apr,1964-04-15,TNS Gallup AS,Ap,48.5
1964,Apr,1964-04-15,TNS Gallup AS,H,19.5
1964,Apr,1964-04-15,TNS Gallup AS,KrF,8.9
1964,Apr,1964-04-15,TNS Gallup AS,NKP,1.2
1964,Apr,1964-04-15,TNS Gallup AS,SF,3.9
1964,Apr,1964-04-15,TNS Gallup AS,Sp,9.4
1964,Apr,1964-04-15,TNS Gallup AS,V,9.4
1964,Aug,1964-08-15,TNS Gallup AS,Ap,51.0
1964,Aug,1964-08-15,TNS Gallup AS,H,18.1
1964,Aug,1964-08-15,TNS Gallup AS,KrF,7.4
1964,Aug,1964-08-15,TNS Gallup AS,NKP,1.2
1964,Aug,1964-08-15,TNS Gallup AS,SF,3.3
1964,Aug,1964-08-15,TNS Gallup AS,Sp,10.2
1964,Aug,1964-08-15,TNS Gallup AS,V,8.8
1964,Des,1964-12-15,TNS Gallup AS,Ap,50.1
1964,Des,1964-12-15,TNS Gallup AS,H,18.6
1964,Des,1964-12-15,TNS Gallup AS,KrF,6.6
1964,Des,1964-12-15,TNS Gallup AS,NKP,0.9
1964,Des,1964-12-15,TNS Gallup AS,SF,4.9
1964,Des,1964-12-15,TNS Gallup AS,Sp,7.8
1964,Des,1964-12-15,TNS Gallup AS,V,11.1
1964,Feb,1964-02-15,TNS Gallup AS,Ap,51.5
1964,Feb,1964-02-15,TNS Gallup AS,H,16.1
1964,Feb,1964-02-15,TNS Gallup AS,KrF,8.2
1964,Feb,1964-02-15,TNS Gallup AS,NKP,0.8
1964,Feb,1964-02-15,TNS Gallup AS,SF,3.0
1964,Feb,1964-02-15,TNS Gallup AS,Sp,10.8
1964,Feb,1964-02-15,TNS Gallup AS,V,9.6
1964,Jan,1964-01-15,TNS Gallup AS,Ap,49.3
1964,Jan,1964-01-15,TNS Gallup AS,H,22.0
1964,Jan,1964-01-15,TNS Gallup AS,KrF,7.7
1964,Jan,1964-01-15,TNS Gallup AS,NKP,1.3
1964,Jan,1964-01-15,TNS Gallup AS,SF,2.3
1964,Jan,1964-01-15,TNS Gallup AS,Sp,8.8
1964,Jan,1964-01-15,TNS Gallup AS,V,8.7
1964,Jul,1964-07-15,TNS Gallup AS,Ap,52.3
1964,Jul,1964-07-15,TNS Gallup AS,H,19.8
1964,Jul,1964-07-15,TNS Gallup AS,KrF,7.0
1964,Jul,1964-07-15,TNS Gallup AS,NKP,1.6
1964,Jul,1964-07-15,TNS Gallup AS,SF,2.7
1964,Jul,1964-07-15,TNS Gallup AS,Sp,7.9
1964,Jul,1964-07-15,TNS Gallup AS,V,8.7
1964,Jun,1964-06-15,TNS Gallup AS,Ap,50.2
1964,Jun,1964-06-15,TNS Gallup AS,H,20.3
1964,Jun,1964-06-15,TNS Gallup AS,KrF,7.9
1964,Jun,1964-06-15,TNS Gallup AS,NKP,1.0
1964,Jun,1964-06-15,TNS Gallup AS,SF,3.9
1964,Jun,1964-06-15,TNS Gallup AS,Sp,8.8
1964,Jun,1964-06-15,TNS Gallup AS,V,8.0
1964,Mar,1964-03-15,TNS Gallup AS,Ap,50.3
1964,Mar,1964-03-15,TNS Gallup AS,H,17.1
1964,Mar,1964-03-15,TNS Gallup AS,KrF,9.2
1964,Mar,1964-03-15,TNS Gallup AS,NKP,1.1
1964,Mar,1964-03-15,TNS Gallup AS,SF,2.9
1964,Mar,1964-03-15,TNS Gallup AS,Sp,10.9
1964,Mar,1964-03-15,TNS Gallup AS,V,8.5
1964,Nov,1964-11-15,TNS Gallup AS,Ap,46.3
1964,Nov,1964-11-15,TNS Gallup AS,H,20.3
1964,Nov,1964-11-15,TNS Gallup AS,KrF,8.2
1964,Nov,1964-11-15,TNS Gallup AS,NKP,1.1
1964,Nov,1964-11-15,TNS Gallup AS,SF,4.1
1964,Nov,1964-11-15,TNS Gallup AS,Sp,7.3
1964,Nov,1964-11-15,TNS Gallup AS,V,12.7
1964,Okt,1964-10-15,TNS Gallup AS,Ap,45.4
1964,Okt,1964-10-15,TNS Gallup AS,H,19.0
